M0909802M,20020104,20021212,EWR,NewarkInternationalAirport,ContinentalAirlines,PropertyDamage,Checkpoint,Other,350,ApproveinFull
M0202417M,20020202,20040116,SEA,SeattleTacomaInternational,novalue,PropertyDamage,CheckedBaggage,Luggage(alltypesincludingfootlockers),50,Settle
M0202445M,20020204,20031126,STL,LambertSt.LouisInternational,AmericanAirlines,PropertyDamage,CheckedBaggage,CellPhones,227.92,Settle
M0909816M,20020207,20030106,MIA,MiamiInternationalAirport,AmericanAirlines,PropertyDamage,Checkpoint,Luggage(alltypesincludingfootlockers),50,ApproveinFull
M2005032379513,20020218,20050205,MCO,OrlandoInternationalAirport,Delta(Song),PropertyDamage,Checkpoint,BabyStrollerscarseatsplaypenetc.,84.79,ApproveinFull
M2005032479636,20020218,20050217,CAK,AkronCantonRegional,AirTranAirlines(donotuse),PassengerPropertyLoss,CheckedBaggage,Other,227,Settle
M2007050124750,20020430,20070426,PHL,PhiladelphiaInternationalAirport,USAir,PassengerPropertyLoss,CheckedBaggage,ProfessionalEquipment,106.52,ApproveinFull
M12772,20020620,20020509,BWI,BaltimoreWashingtonIntlThurgoodMarshall,SouthwestAirlines,novalue,Checkpoint,ClothingShoesbeltsaccessoriesetc.,75,ApproveinFull
M14268,20020620,20020616,PHX,PhoenixSkyHarborInternational,novalue,PropertyDamage,Checkpoint,ComputerLaptop,0,novalue
M2004102965797,20020625,20020504,ATL,HartsfieldJacksonAtlantaInternationalAirport,novalue,PassengerPropertyLoss,Checkpoint,JewelryFine,0,Deny
M2005071188575,20020706,20050623,ORD,ChicagoO'HareInternationalAirport,AmericanAirlines,PassengerPropertyLoss,CheckedBaggage,ClothingShoesbeltsaccessoriesetc.,79.95,ApproveinFull
M2005070788431,20020707,20050617,CLT,CharlotteDouglasInternationalAirport,AirTranAirlines,PropertyDamage,CheckedBaggage,Luggage(alltypesincludingfootlockers),43.49,ApproveinFull
M14460,20020708,20020612,BWI,BaltimoreWashingtonIntlThurgoodMarshall,AmericanAirlines,novalue,Checkpoint,Eyeglasses(includingcontactlenses),17,ApproveinFull
M13334,20020708,20020604,BWI,BaltimoreWashingtonIntlThurgoodMarshall,SouthwestAirlines,novalue,Other,ClothingShoesbeltsaccessoriesetc.,0,novalue
M15242,20020712,20020531,BWI,BaltimoreWashingtonIntlThurgoodMarshall,AmericanAirlines,novalue,Other,Luggage(alltypesincludingfootlockers),0,Deny
M15324,20020712,20020612,BWI,BaltimoreWashingtonIntlThurgoodMarshall,novalue,novalue,Other,Luggage(alltypesincludingfootlockers),0,Deny
M15361,20020715,20020311,novalue,novalue,novalue,PersonalInjury,MotorVehicle,Luggage(alltypesincludingfootlockers),0,Deny
M0714534M,20020722,20020306,novalue,novalue,NorthwestAirlines,PropertyDamage,Other,PhotographicFilm,0,Deny
M16410,20020724,20020710,SDF,LouisvilleInternational,DeltaAirLines,PassengerPropertyLoss,Checkpoint,Luggage(alltypesincludingfootlockers),337.4,Settle
M2004092763985,20020808,20020726,novalue,novalue,novalue,novalue,Other,Other,149.08,Settle
M16403,20020812,20020719,BWI,BaltimoreWashingtonIntlThurgoodMarshall,DeltaAirLines,novalue,Other,Luggage(alltypesincludingfootlockers),0,novalue
M0702564M,20020819,20020622,BWI,BaltimoreWashingtonIntlThurgoodMarshall,AmericaWest,PropertyDamage,Checkpoint,Eyeglasses(includingcontactlenses),301.69,Settle
M16759,20020821,20020712,BWI,BaltimoreWashingtonIntlThurgoodMarshall,SouthwestAirlines,PassengerPropertyLoss,Checkpoint,Other,21,ApproveinFull
M15352,20020821,20020713,BWI,BaltimoreWashingtonIntlThurgoodMarshall,ContinentalAirlines,PropertyDamage,Other,Luggage(alltypesincludingfootlockers),0,novalue
M14907,20020909,20020628,SDF,LouisvilleInternational,novalue,PropertyDamage,Checkpoint,Luggage(alltypesincludingfootlockers),275,ApproveinFull
M17892,20020909,20020823,RDU,RaleighDurhamInternational,USAir,PropertyDamage,Checkpoint,Luggage(alltypesincludingfootlockers),30,ApproveinFull
M17846,20020909,20020830,BOS,Boston(Logan)InternationalAirport,novalue,PropertyDamage,Checkpoint,Luggage(alltypesincludingfootlockers),0,novalue
M17201,20020909,20020819,PVD,TFGreenAirportProvidence,DeltaAirLines,novalue,Other,Other,0,Deny
M2004050550501,20020911,20020805,BWI,BaltimoreWashingtonIntlThurgoodMarshall,novalue,PassengerPropertyLoss,Checkpoint,Other,0,Deny
M18170,20020916,20020802,novalue,novalue,novalue,PropertyDamage,CheckedBaggage,Luggage(alltypesincludingfootlockers),40,ApproveinFull
M18202,20020916,20020812,BWI,BaltimoreWashingtonIntlThurgoodMarshall,novalue,novalue,Checkpoint,ComputerLaptop,678,ApproveinFull
M18193,20020916,20020726,BWI,BaltimoreWashingtonIntlThurgoodMarshall,AmericanAirlines,novalue,Other,Currency,0,Deny
M18222,20020916,20020728,novalue,novalue,novalue,novalue,Other,Other,0,Deny
M18171,20020916,20020723,novalue,novalue,DeltaAirLines,PassengerPropertyLoss,CheckedBaggage,CamerasDigital,207.99,Settle
